N,static-1,static-8,static-16,static-32,dynamic-1,dynamic-8,dynamic-16,dynamic-32,guided-1,guided-8,guided-16,guided-32,auto
393,7,7,10,8,8,7,8,15,9,8,8,8,9
394,7,9,14,19,8,8,8,7,8,8,7,8,5
395,7,7,7,8,8,7,7,8,8,8,7,7,5
396,8,7,7,8,8,7,8,8,8,8,8,7,5
397,7,7,7,7,8,8,8,9,10,8,12,8,5
398,41,7,7,8,12,8,8,8,8,8,8,8,5
399,8,8,8,9,9,8,8,8,9,8,8,8,5
400,8,8,8,56,9,40,9,8,9,9,9,8,5
401,8,8,8,8,9,8,8,8,9,31,8,19,5
402,8,8,8,8,11,8,15,8,16,9,8,8,5
403,7,8,13,8,10,8,9,11,8,8,8,8,5
404,7,8,12,7,8,16,8,8,8,8,8,8,6
405,8,7,8,8,8,8,7,7,10,8,8,7,5
406,8,136,7,7,8,8,8,8,9,9,8,8,5
407,7,7,7,7,8,8,8,8,37,8,8,8,5
408,7,7,8,7,8,8,8,8,9,8,8,8,6
409,7,9,7,8,8,8,8,13,9,8,8,7,5
410,7,7,8,8,8,8,9,19,8,58,146,38,5
411,14,8,8,8,22,8,10,8,32,9,9,8,5
412,9,8,8,8,9,8,8,8,9,8,8,9,7
413,8,8,8,8,9,8,8,8,10,9,8,9,5
414,8,8,8,9,8,9,8,7,10,8,8,8,45
415,19,8,8,8,14,8,8,7,8,8,8,12,5
416,8,8,7,8,8,7,7,8,9,46,8,103,7
417,7,8,7,8,8,8,8,7,8,8,8,8,5
418,9,8,8,8,8,8,7,8,9,8,8,8,5
419,8,8,8,8,8,8,8,8,8,121,8,41,5
420,8,7,8,18,8,8,8,8,9,8,8,8,30
421,8,7,7,8,8,8,8,8,9,8,8,8,5
422,18,8,8,8,9,9,8,8,10,10,9,10,5
423,7,7,8,7,8,8,7,8,8,8,8,8,6
424,8,9,8,7,56,8,9,7,9,9,8,8,5
425,7,7,8,8,37,9,8,18,8,9,11,8,5
426,8,8,7,7,8,8,8,8,8,8,8,8,5
427,8,7,8,8,8,9,8,15,9,8,8,8,5
428,8,8,7,8,8,7,8,8,9,8,8,8,5
429,8,7,8,9,8,8,8,8,9,8,8,24,6
430,8,13,8,8,8,8,18,8,9,14,8,8,18
431,8,9,8,8,9,8,8,10,9,10,9,12,6
432,36,8,11,8,57,8,8,13,9,9,8,8,8
433,8,8,15,30,9,8,8,8,9,9,9,9,11
434,8,10,8,8,9,8,8,9,10,9,14,9,7
435,8,8,11,7,8,8,8,8,8,8,8,8,5
436,8,7,8,8,8,8,8,8,9,8,8,8,5
437,20,7,8,8,9,8,8,8,9,8,8,8,6
438,9,8,10,7,8,9,8,8,9,8,8,8,5
439,8,8,8,8,8,8,8,8,9,14,42,141,5
440,8,8,8,8,8,8,8,8,9,8,9,8,5
441,8,8,7,8,8,8,8,8,9,8,8,8,5
442,8,8,28,7,8,8,14,8,9,8,9,8,5
443,45,8,8,8,9,11,8,14,9,9,12,9,5
444,8,8,8,8,9,9,9,9,10,9,14,8,5
445,8,9,8,8,9,8,9,9,9,9,8,8,5
446,8,8,8,8,88,19,8,8,10,8,8,8,6
447,8,8,8,8,8,8,9,8,9,8,8,8,5
448,8,8,8,8,8,8,8,9,16,8,8,8,5
449,7,8,10,8,8,8,8,8,9,9,8,8,6
450,8,8,9,8,9,20,8,8,9,9,8,8,5
451,8,8,8,9,8,8,8,8,9,9,8,8,5
452,8,8,8,8,8,8,8,8,18,8,8,8,10
453,8,8,8,8,9,8,8,13,9,9,8,8,5
454,8,8,9,9,10,9,8,17,9,9,9,9,6
455,13,8,7,16,8,8,8,8,8,8,11,8,5
456,8,8,17,12,8,8,8,8,9,10,8,8,5
457,8,8,8,8,8,8,8,8,9,8,8,9,5
458,8,8,8,8,14,8,8,8,9,14,8,8,5
459,8,8,8,8,8,8,8,8,9,8,8,8,7
460,8,8,8,8,17,8,8,9,9,8,8,8,5
461,8,8,8,8,8,8,20,8,9,8,8,8,7
462,8,8,8,8,12,8,8,8,9,8,8,9,6
463,12,8,8,8,10,9,9,44,9,9,9,11,5
464,9,9,9,8,11,9,9,8,9,9,9,9,12
465,9,8,8,8,21,9,9,9,10,10,9,9,23
466,8,8,9,45,9,9,8,9,10,9,17,9,5
467,8,11,8,8,9,8,8,8,9,9,8,8,5
468,8,8,8,8,9,9,8,12,9,9,8,8,9
469,7,8,8,8,9,8,8,8,10,8,8,8,5
470,9,8,13,8,8,8,154,39,10,8,8,8,5
471,8,8,8,8,8,8,8,8,9,9,8,10,6
472,8,8,8,8,8,8,8,8,9,9,8,14,5
473,8,8,8,8,8,8,8,54,9,9,8,8,6
474,8,8,8,12,9,8,8,9,9,9,8,8,5
475,10,9,15,9,9,9,57,8,17,9,13,9,5
476,8,8,9,9,9,127,8,12,10,11,15,9,6
477,8,10,8,9,10,31,9,9,9,9,9,9,5
478,8,8,8,8,8,8,8,9,11,8,8,8,5
479,8,8,8,8,9,8,12,8,14,9,8,8,11
480,8,8,8,9,9,8,8,8,9,9,8,8,5
481,9,8,9,8,8,8,25,8,10,8,8,8,5
482,8,8,8,8,9,8,8,8,9,8,8,9,5
483,9,8,8,8,9,8,8,8,11,9,8,8,5
484,12,14,20,8,9,8,26,8,9,8,8,9,6
485,8,8,8,8,9,8,8,8,9,8,16,12,6
